city,year,outcome
0,2001,19.573448572847056
0,2002,20.324508775127942
0,2003,20.279427346613026
0,2004,19.883834496303553
0,2005,20.457944397805445
0,2006,19.629138824710644
0,2007,20.292235109069384
0,2008,20.291844976199314
0,2009,20.038980871924945
0,2010,20.367753359915206
0,2011,20.2129538194603
0,2012,19.391407705139393
0,2013,20.173246281435087
0,2014,19.699565751390335
0,2015,20.531360347718525
0,2016,21.531173170609236
0,2017,21.55706708889368
0,2018,21.33170246681804
0,2019,21.75780321106212
0,2020,21.06457851980703
0,2021,21.39199749647343
0,2022,21.33808798959319
0,2023,21.586632974156835
0,2024,21.769701675711076
0,2025,21.74440904484305
1,2001,22.455320240787234
1,2002,20.115362796484813
1,2003,18.12464741375848
1,2004,18.876560987032153
1,2005,18.904950955136304
1,2006,18.981938668363927
1,2007,17.30525538719661
1,2008,15.379424245077267
1,2009,17.467773891049337
1,2010,15.590770960829396
1,2011,16.85244774312351
1,2012,17.396784841048785
1,2013,15.9121841420665
1,2014,15.951555257608725
1,2015,13.98871766607018
1,2016,14.348234559021419
1,2017,15.065565424664278
1,2018,13.875511562056019
1,2019,11.97064464390251
1,2020,15.173254719581967
1,2021,14.485560320767704
1,2022,12.345354797305541
1,2023,12.977389080714632
1,2024,10.732058842403987
1,2025,11.422377713702645
2,2001,17.173448076975635
2,2002,21.989678733010056
2,2003,21.974383773577504
2,2004,19.240147501749266
2,2005,24.253641833207215
2,2006,19.16755845076372
2,2007,22.86878129825059
2,2008,23.5969020936968
2,2009,22.376286010115606
2,2010,23.43790478492664
2,2011,24.107305816881425
2,2012,18.667603285340117
2,2013,23.843100845189287
2,2014,20.273508950991285
2,2015,25.352380831845764
2,2016,21.48296057312706
2,2017,23.25335810063464
2,2018,21.4181328064901
2,2019,23.88309286814711
2,2020,21.25121416435907
2,2021,23.113287031615606
2,2022,21.823241146201305
2,2023,24.629443301493755
2,2024,25.272400460148347
2,2025,25.726089953047527
3,2001,18.17541306622132
3,2002,18.254740265434403
3,2003,21.186413997138033
3,2004,22.367569804233778
3,2005,17.758651543051805
3,2006,21.2332764146339
3,2007,21.369875929967662
3,2008,24.028122138648133
3,2009,20.70181541268737
3,2010,23.671061995102164
3,2011,20.532975242247517
3,2012,23.894878193991524
3,2013,22.045922087078395
3,2014,24.929795642357863
3,2015,24.303266712669746
3,2016,26.57470701690929
3,2017,23.593781544113153
3,2018,26.92010433153621
3,2019,28.39037845706321
3,2020,24.573867460475174
3,2021,24.206534818107485
3,2022,29.02212426309016
3,2023,25.194763959391544
3,2024,28.32481397290355
3,2025,26.682906367546025
4,2001,18.623481930691888
4,2002,20.07639048017451
4,2003,20.321368585414778
4,2004,19.182307719374133
4,2005,19.983646270344458
4,2006,18.540356639508005
4,2007,19.340137029847636
4,2008,20.026745846739743
4,2009,18.85660354949595
4,2010,18.8483031762057
4,2011,18.50935830150723
4,2012,16.484193398216533
4,2013,18.241401156474197
4,2014,17.00041663497254
4,2015,18.1371726060147
4,2016,17.081630976897895
4,2017,16.822689305600434
4,2018,16.379551670944682
4,2019,17.142459700021412
