year,month,date,city,market,mom_index,yoy_index,ytd_average_index,source_url
2025,1,2025-01,北京,new_house,99.6,94.3,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,天津,new_house,100.3,97.9,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,石家庄,new_house,99.9,96.5,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,太原,new_house,100.3,101.0,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,呼和浩特,new_house,99.4,94.2,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,沈阳,new_house,99.8,96.3,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,大连,new_house,100.2,94.2,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,长春,new_house,99.8,95.8,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,哈尔滨,new_house,99.9,93.7,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,上海,new_house,100.6,105.6,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,南京,new_house,100.7,95.2,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,杭州,new_house,100.3,98.6,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,宁波,new_house,100.6,92.8,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,合肥,new_house,99.9,94.1,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,福州,new_house,100.2,92.3,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,厦门,new_house,100.1,92.1,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,南昌,new_house,99.7,94.4,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,济南,new_house,99.8,93.7,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,青岛,new_house,100.1,94.8,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,郑州,new_house,100.3,94.6,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,武汉,new_house,100.5,93.1,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,长沙,new_house,100.0,93.5,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,广州,new_house,100.0,91.6,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,深圳,new_house,100.2,94.8,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,南宁,new_house,100.1,93.0,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,海口,new_house,100.4,95.8,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,重庆,new_house,100.4,94.8,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,成都,new_house,100.7,96.6,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
2025,1,2025-01,贵阳,new_house,99.8,95.1,,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html
