country,country_code,year,gdp_growth_pct,gdp_per_capita_constant_2015_usd,life_expectancy,population,trade_pct_gdp
Aruba,ABW,1960,,,64.049,54922.0,
Aruba,ABW,1961,,,64.215,55578.0,
Aruba,ABW,1962,,,64.602,56320.0,
Aruba,ABW,1963,,,64.944,57002.0,
Aruba,ABW,1964,,,65.303,57619.0,
Aruba,ABW,1965,,,65.615,58190.0,
Aruba,ABW,1966,,,66.126,58694.0,
Aruba,ABW,1967,,,66.385,58990.0,
Aruba,ABW,1968,,,66.744,59069.0,
Aruba,ABW,1969,,,67.098,59052.0,
Aruba,ABW,1970,,,67.44,58950.0,
Aruba,ABW,1971,,,67.783,58781.0,
Aruba,ABW,1972,,,68.335,58047.0,
Aruba,ABW,1973,,,68.862,58299.0,
Aruba,ABW,1974,,,69.278,58349.0,
Aruba,ABW,1975,,,69.564,58295.0,
Aruba,ABW,1976,,,69.808,58368.0,
Aruba,ABW,1977,,,70.054,58580.0,
Aruba,ABW,1978,,,70.271,58776.0,
Aruba,ABW,1979,,,70.507,59191.0,
Aruba,ABW,1980,,,70.771,59909.0,
Aruba,ABW,1981,,,71.344,60563.0,
Aruba,ABW,1982,,,71.485,61276.0,
Aruba,ABW,1983,,,71.606,62228.0,
Aruba,ABW,1984,,,71.711,62901.0,
Aruba,ABW,1985,,,71.792,61728.0,
Aruba,ABW,1986,,16150.6510725001,71.831,59931.0,
Aruba,ABW,1987,16.0784313755902,18992.0683778812,72.448,59159.0,
Aruba,ABW,1988,18.6486486682331,22468.5071202357,72.519,59331.0,
Aruba,ABW,1989,12.1298405451924,24730.3964479092,72.531,60443.0,
Aruba,ABW,1990,3.96140172360629,24763.6538099384,72.546,62753.0,
Aruba,ABW,1991,7.96287173232642,25460.3630272927,72.592,65896.0,
Aruba,ABW,1992,5.88235395341866,25743.4455010025,72.717,69005.0,
Aruba,ABW,1993,7.30769324531406,25870.1533960504,72.777,73685.0,
Aruba,ABW,1994,8.20390129312089,26581.9767488997,72.796,77595.0,
Aruba,ABW,1995,2.54714368704694,26504.1864180809,72.832,79805.0,171.362098138748
Aruba,ABW,1996,1.18578851134656,25779.5979282247,72.856,83021.0,175.344129554656
Aruba,ABW,1997,7.04687499241221,26547.4166076696,72.904,86301.0,168.781911013858
Aruba,ABW,1998,1.99198444906199,26418.0883302727,72.94,88451.0,163.267359946327
Aruba,ABW,1999,1.2380418420716,26384.8105935137,72.857,89659.0,164.559014267185
Aruba,ABW,2000,7.62292064930222,28104.8954362859,72.939,90588.0,145.072879516204
Aruba,ABW,2001,4.1820016304779,29007.7386958774,73.044,91439.0,140.391108618306
Aruba,ABW,2002,-0.944953481157384,28535.4639480222,73.135,92074.0,133.230771421249
Aruba,ABW,2003,1.11050459944282,28525.8077063839,73.236,93128.0,132.794291274023
Aruba,ABW,2004,7.29372807096192,29959.7748189582,73.223,95138.0,132.430929795173
Aruba,ABW,2005,-0.383137672063768,29081.7066997897,73.415,97635.0,145.050280144237
Aruba,ABW,2006,1.12741146411624,28885.9118700469,73.498,99405.0,141.042626734626
Aruba,ABW,2007,3.0895443848509,29556.8384686554,73.642,100150.0,139.972309491093
