"y","d","z","u"
10.344584682738,3.73207452242039,1,1.25562214630013
2.96630868784581,0.635430214719913,0,0.480615511770494
-6.09226299742103,-3.03213204434605,1,-1.66918894348146
6.3717874253201,1.90623984506239,1,0.325652743141408
2.55336302240389,0.668435715209707,0,1.11299299523196
-3.66928063149096,-1.29252900885444,1,-0.821470258106875
4.52768229941205,1.27026981131044,1,0.0572942973640708
6.70298952643618,1.96874710919223,1,2.01045785787358
-1.56168481299721,-0.700521608822891,1,-0.557720166355749
1.58784444149312,0.735233237439345,1,0.344236931705128
4.61047925782311,0.953644301517267,0,1.60424504426404
-0.941984994402966,-1.33589665944974,0,-1.40638324737427
-0.696001012455821,-0.108925015312277,1,-1.49739153509645
1.11917767029983,0.677612710253174,0,0.576515046538399
1.61195419071781,0.34074493654268,1,-0.727482969454378
5.02829014545774,2.26526991669543,1,-0.325018830479125
5.67420240245251,1.08573531237371,0,1.72852003646108
-2.83826023143451,-1.32728439490468,0,-0.769245309420661
2.10372448792934,1.08531776222155,0,0.824668306888835
3.42212075387224,0.826569802764727,0,0.204997908110524
0.196593676179417,-0.862948931293387,0,0.196564034918852
3.06852807919936,0.937502635725195,1,0.344059790643254
-5.8419453852357,-1.44331374595644,1,-1.96131926142956
7.21608092857116,2.2598734452299,1,0.792508576409522
-2.07200071887437,-0.852059658648145,1,-0.00691272603396988
-5.09779917847524,-1.75321552346616,1,-2.18401825881736
6.72442157761656,2.47924451890029,1,0.306710225010754
5.77520088835713,2.45274263685982,1,0.143152883728093
8.11619452540875,2.48637577951105,0,1.47246234708739
3.29024937560254,0.556471607983664,0,-0.0698517069524426
-9.24966711802054,-3.41287155227181,1,-2.35411827612299
3.36174075254696,1.75139752004747,1,0.236115029641778
2.43519623186792,0.83464572586093,1,-1.02073731078723
3.05391763424478,0.820966883145935,0,0.47387734902371
0.132977221179634,-0.248136940486973,1,-0.281806821432944
5.57573002351818,1.91198057284212,1,0.366316229537361
3.50394869101241,1.50889133749468,1,0.401730510523243
-1.95889405104087,-1.51635195424822,1,-0.176378313677468
3.54106383817095,1.07878334348634,1,-0.553629489370254
3.92083423032772,1.71967898782558,1,0.354341263260762
5.33554676896669,0.710499174887659,1,0.73639234475367
-0.989422656516657,-0.371114135768685,0,0.086044515060218
2.23117938006768,0.755827444922895,0,1.11436330137642
9.43960060582748,3.10934394571334,0,1.71146517441402
-0.12881822997967,0.111369665389553,0,-0.85970673095049
-1.7819807248499,-1.01366408908739,0,-0.729532671752412
0.0538810869732508,-0.133057921884931,0,-0.417728244098084
8.5089053328853,3.0622639082988,1,1.21282348844998
-6.28410030929268,-2.40547761109641,1,-1.51481560545949
-4.35451824315465,-1.60712205493668,0,-0.786899826800667
-3.33343211000737,-1.36189395374736,0,-0.776730173000777
5.44161170034662,1.71261993072832,0,1.8944962791058
2.74014663806196,0.381856547182279,1,0.316385236006069
5.86585439260674,1.42481042120954,0,1.53996113031442
0.981361238567128,0.347670437906966,1,0.17094335572927
4.24518914720618,1.88996333449095,1,0.216529079384611
