geo_fips,state,year,real_gdp_millions_2017_usd,current_gdp_millions_usd,personal_income_millions_usd,population,per_capita_personal_income_usd
01000,Alabama,1997,154700.0,105381.4,95701.2,,
01000,Alabama,1998,160396.4,110838.8,101354.6,,
01000,Alabama,1999,166531.8,116514.3,104803.1,,
01000,Alabama,2000,168695.3,120522.6,110020.2,,
01000,Alabama,2001,168448.3,123534.5,112239.4,,
01000,Alabama,2002,172430.4,128380.9,116836.8,,
01000,Alabama,2003,178040.0,135212.6,122824.7,,
01000,Alabama,2004,189913.7,148379.1,132057.7,,
01000,Alabama,2005,197246.5,158677.3,139563.5,,
01000,Alabama,2006,199923.9,166048.2,146694.4,,
01000,Alabama,2007,202025.5,172247.0,154005.2,,
01000,Alabama,2008,200967.4,174665.6,156214.8,,
01000,Alabama,2009,194192.1,170876.5,156331.7,,
01000,Alabama,2010,199455.0,177510.7,164490.4,4798854.0,34277.0
01000,Alabama,2011,201372.8,182896.7,169083.6,4824088.0,35050.0
01000,Alabama,2012,203675.5,188280.7,174799.4,4851477.0,36030.0
01000,Alabama,2013,206962.9,193981.5,173739.3,4875308.0,35637.0
01000,Alabama,2014,206070.0,197064.4,183268.4,4897871.0,37418.0
01000,Alabama,2015,208950.3,203113.3,188876.9,4919092.0,38397.0
01000,Alabama,2016,212862.8,208824.3,192632.8,4941401.0,38983.0
01000,Alabama,2017,216615.5,216615.5,200817.3,4963818.0,40456.0
01000,Alabama,2018,220808.8,226263.8,209220.5,4988758.0,41938.0
01000,Alabama,2019,225272.8,234798.2,217583.7,5016699.0,43372.0
01000,Alabama,2020,223025.5,235859.0,230509.0,5040791.0,45729.0
01000,Alabama,2021,233951.1,260325.0,253806.6,5060806.0,50151.0
01000,Alabama,2022,239846.6,286873.3,269523.6,5093347.0,52917.0
01000,Alabama,2023,248313.7,309543.8,285011.4,5135793.0,55495.0
01000,Alabama,2024,255629.4,325345.1,300927.5,5175620.0,58143.0
01000,Alabama,2025,260648.0,341154.2,312496.1,5203147.0,60059.0
02000,Alaska,1997,41071.0,25859.1,,,
02000,Alaska,1998,40263.7,24387.8,,,
02000,Alaska,1999,39783.1,24920.4,,,
02000,Alaska,2000,38428.1,26934.0,,,
02000,Alaska,2001,40014.4,28660.9,,,
02000,Alaska,2002,41904.7,29884.5,,,
02000,Alaska,2003,41235.0,32115.8,,,
02000,Alaska,2004,42880.1,35389.5,,,
02000,Alaska,2005,44406.8,40459.9,,,
