"country","country_code","year","gdp_per_capita_constant_2015_usd","log_gdp_pc","trade_pct_gdp","population","co2_pc_tonnes","log_co2_pc","income_decile","income_group","high_income","high_trade"
"Albania","ALB",2024,6549.23387415397,8.78710335601025,79.4546360752224,2377128,1.86967130083025,0.625762640459179,"(8.43,8.8]","中低收入组",0,0
"Algeria","DZA",2024,4765.72900168387,8.46920579529591,40.1345741170703,46814308,4.23381629394159,1.44310378347227,"(8.43,8.8]","中低收入组",0,0
"Angola","AGO",2024,2845.47779302975,7.95348627377085,50.8422305562091,37885849,0.589496727392859,-0.528486110516544,"(7.45,8.15]","中低收入组",0,0
"Argentina","ARG",2024,12774.3506596628,9.45519458479085,27.929760849367,45696159,3.7434056547291,1.31999579994791,"(9.23,9.75]","中高收入组",1,0
"Armenia","ARM",2024,5378.31799981682,8.59013096483468,150.064726588742,3033500,2.449551672985,0.895905017193443,"(8.43,8.8]","中低收入组",0,1
"Aruba","ABW",2024,33373.9174591266,10.4155299594949,160.365278789947,107995,8.52487615167369,2.14298849540114,"(10.3,10.7]","高收入组",1,1
"Australia","AUS",2024,61480.670710531,11.0264781070031,47.1453811065195,27196812,14.2197688464369,2.65463316871814,"(10.7,11.7]","高收入组",1,0
"Austria","AUT",2024,45958.8250071261,10.7355011660816,108.825777834405,9177982,6.1416176235691,1.8150881640678,"(10.7,11.7]","高收入组",1,1
"Azerbaijan","AZE",2024,5871.14373251952,8.67780473754266,82.6898691594703,10202830,3.90383256410231,1.36195877933765,"(8.43,8.8]","中低收入组",0,1
"Bahamas, The","BHS",2024,33968.2032187918,10.4331801665792,79.2424586933455,401283,7.64966121166359,2.03466136080074,"(10.3,10.7]","高收入组",1,0
"Bahrain","BHR",2024,25812.4504577306,10.1586122303884,157.818492147586,1588670,24.5510118526818,3.20075306938636,"(9.75,10.3]","高收入组",1,1
"Bangladesh","BGD",2024,1941.27874360025,7.57110218110164,26.7780758040478,173562364,0.624086221826294,-0.471466744154458,"(7.45,8.15]","低收入组",0,0
"Belarus","BLR",2024,6792.13183495565,8.82352013813196,131.91792910245,9132629,6.11197673747614,1.81025024581577,"(8.8,9.23]","中高收入组",1,1
"Belgium","BEL",2024,45045.6601021398,10.7154319232603,158.931826338067,11858610,7.20625773172404,1.97494977795386,"(10.3,10.7]","高收入组",1,1
"Belize","BLZ",2024,6290.49294452749,8.74679471618297,108.972446521476,417072,1.90860810603445,0.646374236102157,"(8.43,8.8]","中低收入组",0,1
"Benin","BEN",2024,1324.78312597434,7.1890040465136,40.6398022401523,14462724,0.419446502609052,-0.868819287764762,"(7,7.45]","低收入组",0,0
"Bermuda","BMU",2024,122117.603586776,11.7127398232267,75.2902443250736,64636,8.50920539637354,2.14114856529668,"(10.7,11.7]","高收入组",1,0
"Bolivia","BOL",2024,3045.61476602385,8.02145805337012,46.9778716148403,12413315,2.31273145005988,0.838429271908501,"(7.45,8.15]","中低收入组",0,0
"Bosnia and Herzegovina","BIH",2024,6730.26828824205,8.81437028636754,95.1562957108171,3164253,6.1391841929201,1.81469186572878,"(8.8,9.23]","中高收入组",1,1
"Botswana","BWA",2024,6937.33180990267,8.84467251414318,71.1052579052124,2521139,2.95961428544797,1.08505895087474,"(8.8,9.23]","中高收入组",1,0
"Brazil","BRA",2024,9566.74408628371,9.16604820568975,35.5845239385389,211998573,2.27837170394538,0.823461022892856,"(8.8,9.23]","中高收入组",1,0
"Brunei Darussalam","BRN",2024,29563.8682753082,10.2943082283174,132.587439642245,462721,26.0469332491934,3.25990003571038,"(10.3,10.7]","高收入组",1,1
"Bulgaria","BGR",2024,10126.8980075708,9.22295033194463,110.22631455921,6441421,4.90913790606141,1.59109834717703,"(8.8,9.23]","中高收入组",1,1
"Burkina Faso","BFA",2024,763.833733522408,6.63835013920291,60.5024222912348,23548781,0.276348189742815,-1.28609365132025,"[5.97,7]","低收入组",0,0
"Cabo Verde","CPV",2024,4448.96609078891,8.4004270090168,96.5053536678629,524877,1.13128599652871,0.123355035661626,"(8.15,8.43]","中低收入组",0,1
"Cambodia","KHM",2024,2182.71843902341,7.68832636931409,143.447009703011,17638801,1.24059963032635,0.215594835577106,"(7.45,8.15]","低收入组",0,1
