"模型","项","估计值","标准误","t统计量","p值","CI下限","CI上限"
"模型1：高收入虚拟变量","(Intercept)",1.68940603301457,0.229949611996784,7.34685315771784,1.08544284671552e-11,1.235166528685,2.14364553734413
"模型1：高收入虚拟变量","high_income",5.08294771906065,0.578005856108912,8.79393809827229,2.66453525910038e-15,3.94116238922862,6.22473304889269
"模型2：两个虚拟变量交互","(Intercept)",1.48818396661142,0.267667907237754,5.5598147046054,1.17360028362157e-07,0.959381841434789,2.01698609178804
"模型2：两个虚拟变量交互","high_income",5.20076961279624,0.859452607515763,6.05125816981229,1.06198658755829e-08,3.50284336518209,6.89869586041038
"模型2：两个虚拟变量交互","high_trade",0.512791717608025,0.487972567405626,1.05086177350984,0.294979043670418,-0.451242160546773,1.47682559576282
"模型2：两个虚拟变量交互","high_income_high_trade",-0.37438292041504,1.17868894939609,-0.317626563485521,0.75120128812215,-2.70298939324566,1.95422355241558
"模型3：虚拟变量与连续变量交互","(Intercept)",0.867817567029157,0.512428155899101,1.69353997636311,0.0923876544046167,-0.144530534901104,1.88016566895942
"模型3：虚拟变量与连续变量交互","high_income",5.85218929100197,1.04414380684298,5.60477326269486,9.46793221601183e-08,3.78938889873027,7.91498968327368
"模型3：虚拟变量与连续变量交互","trade_pct_gdp",0.0109540187719585,0.0073978383720757,1.48070533864407,0.140741465166697,-0.00366107906788845,0.0255691166118054
"模型3：虚拟变量与连续变量交互","high_income_trade",-0.0104779788769859,0.00982846144233466,-1.06608536223722,0.288064465218545,-0.0298949921138647,0.00893903435989293
