模型,项,估计值,标准误,t统计量,p值,CI下限,CI上限
模型1：高收入虚拟变量,截距,1.6894060330145657,0.22994961199678404,7.3468531577178435,1.084821121821733e-11,1.2351665286850237,2.1436455373441077
模型1：高收入虚拟变量,高收入国家,5.082947719060659,0.5780058561089124,8.793938098272294,0.0,3.9411623892286745,6.224733048892643
模型2：两个虚拟变量交互,截距,1.488183966611424,0.26766790723775313,5.559814704605437,1.173600527870633e-07,0.9593818414347507,2.0169860917880973
模型2：两个虚拟变量交互,高收入国家,5.200769612796233,0.8594526075157628,6.051258169812287,1.0619890744578697e-08,3.50284336518194,6.898695860410525
模型2：两个虚拟变量交互,高贸易开放度,0.5127917176080224,0.4879725674056256,1.0508617735098333,0.29497904367043315,-0.4512421605468594,1.4768255957629042
模型2：两个虚拟变量交互,高收入×高贸易,-0.3743829204150354,1.17868894939609,-0.31762656348551777,0.7512012881221584,-2.7029893932458604,1.9542235524157894
模型3：虚拟变量与连续变量交互,截距,0.867817567029145,0.5124281558991141,1.6935399763630463,0.09238765440465002,-0.14453053490123047,1.8801656689595205
模型3：虚拟变量与连续变量交互,高收入国家,5.852189291001974,1.0441438068429871,5.604773262694835,9.467934525275723e-08,3.7893888987300817,7.914989683273866
模型3：虚拟变量与连续变量交互,贸易占GDP比重,0.010954018771958497,0.007397838372075834,1.48070533864405,0.14074146516672537,-0.0036610790678899604,0.025569116611806955
模型3：虚拟变量与连续变量交互,高收入×贸易占GDP比重,-0.01047797887698588,0.009828461442334745,-1.066085362237209,0.28806446521856355,-0.02989499211386657,0.008939034359894812
