"模拟编号","普通标准误t统计量","稳健标准误t统计量"
1,-1.27412457080662,-1.66988330354948
2,2.03888744530476,1.41517388350345
3,1.10996140833078,1.10631676556036
4,0.701626348143508,1.14206360787887
5,-1.78501476678541,-1.63044806580689
6,1.0898757688907,1.00813674040718
7,-0.588147621044644,-0.547659881101601
8,0.843852540862723,0.697132072083583
9,-1.41386132750606,-2.57819026870087
10,-2.50358065290985,-2.65033090198622
11,1.06772386350098,1.03972526532969
12,0.448364431773415,0.30922266076506
13,-2.42415353239212,-4.38954216143745
14,0.472283082292863,0.619187993444693
15,0.0458410448663484,0.0434528369831047
16,-0.275728350459267,-0.673430643386838
17,-0.83692158532696,-1.02000787342136
18,-0.493219122661159,-0.46954841454444
19,0.0089524156264577,0.00934853515199053
20,-1.30422339119461,-1.43269709964366
21,1.21819834238013,1.41099491049167
22,0.955697133943963,0.957913207754246
23,1.21789003595521,1.2634427974309
24,-1.75509877090372,-2.1899724312698
25,0.10397538375871,0.0984693921599423
26,1.90218313326262,1.53845695101715
27,0.257127786455458,0.28343114032296
28,1.09400051786455,1.13562989893952
29,-2.3798764488925,-3.6127305202437
30,-0.710195836760779,-1.00882799220931
31,0.0565603976366346,0.0548492288098628
32,-0.978792680877912,-1.12562591560754
33,0.438526838158673,0.397323868168875
34,0.337507625525701,0.386655041481297
35,0.470059859000023,0.411552463235231
36,-0.9283051809716,-0.836025624510789
37,1.87640718687742,1.69641132440579
38,0.538051435355923,0.645208272341117
39,-0.456517793672979,-0.561066457883587
40,-1.13282480579841,-1.49056728739355
41,0.173050800569855,0.185097532695421
42,-1.07938777764287,-1.96748882233083
43,1.32300242851806,0.942801259787388
44,-0.743761923675376,-0.911532666275616
45,2.62232221551597,2.44813817484705
46,-5.60397397925084,-9.96967531252673
47,0.0190330290283497,0.0243057365365747
48,-0.808765618393794,-0.846616438918159
49,1.43590491322227,0.982011843547301
50,-0.735478737980865,-0.834473294021148
51,-1.10751670205022,-1.75767850061062
52,-2.13247418204771,-3.03127229847872
53,0.904104357324436,1.0667141678214
54,-1.51985860740599,-1.49707909994416
55,-2.23374100596491,-2.74063400603172
56,0.764910803371378,0.642870226255193
57,1.07906533843632,0.682656437521562
58,0.443639571562836,0.507203255141481
59,-2.14896229360664,-2.05372731169112
60,0.895416265784509,0.613876183425716
61,-1.041372345557,-1.30751257124152
62,-0.495818008144927,-0.494633686048885
63,-0.685409287945034,-0.943072222328764
64,-0.242201196014057,-0.216475340615763
65,0.992713267717518,1.02648928503373
66,0.706408536544722,0.810707331061533
67,-0.546233713665706,-0.497200962585993
68,-1.56312478499497,-2.80944380993912
69,0.846787480121493,0.754190166522379
70,1.11053989561356,1.11469750883513
71,-0.756538944649455,-0.854148713404427
72,-0.575765626306961,-0.818255760788797
73,1.08357692982943,0.611128906972761
74,0.799321299253123,0.889964785418497
75,0.267169727148371,0.222667596561613
76,-0.667201313235148,-0.799904352816418
77,-2.98576815136031,-3.88197834504736
78,-0.469559448164272,-0.457494059130082
79,-0.975432262247109,-1.60000405104107
80,0.631596109494351,0.590292238089294
81,1.1303519166713,0.974135239598172
82,-2.00726542453244,-5.06079680658308
83,0.0156510074281593,0.0153460884309391
84,-0.206835802977565,-0.203083999723986
85,0.179579669671333,0.227286688858721
86,0.593179332619508,0.714877799306963
87,-0.159992065433964,-0.162990401534737
88,-1.70402345726324,-3.4600690525559
89,0.716340505914648,0.696458984435567
90,0.480369639237408,0.451672998322146
91,0.0129242448322789,0.0157646074773219
92,1.11483928266599,0.915325160492618
93,0.39069900848602,0.566349155155685
94,-0.760234036653232,-1.03514374492499
95,-0.0524444660801909,-0.0575522199669925
96,0.155682407188351,0.210546965925657
97,1.01821418687911,0.88879473474898
98,-0.196576085224189,-0.268228950163488
99,-0.343528736331462,-0.462365274988221
100,-2.02200232817861,-2.59410084178023
101,2.01825818813319,1.52655882117058
102,-3.71433782125035,-4.06578525212864
103,-0.933863087974773,-0.809634243342543
104,-0.579551419888978,-0.578036169112381
105,0.805007267783777,0.712878279258524
106,0.801220024524653,0.694177065268234
107,0.535213833425214,0.447393162000429
108,1.83425098469977,1.51300576333822
109,-2.47322099290338,-3.54391354991584
110,0.376595698558446,0.411149995961264
111,-0.320047655282701,-0.380052242390856
112,-2.92933533322323,-2.87567879171808
113,-0.460198962737013,-0.760886994099408
114,-1.1322974815693,-0.883560869939645
115,-2.74049907006397,-4.37336770543785
116,-0.201984979998328,-0.300473572404475
117,-0.0254532653790843,-0.0323907566562234
118,0.766765733653073,0.775695048681558
119,2.24797600400087,2.09592155157165
120,-0.563748013774946,-0.55092825696356
121,-1.25063962306134,-1.65156202233638
122,-0.81706296263661,-0.853911494825058
123,-0.248115267770891,-0.336055630597554
124,-1.21497764483508,-1.37330348044896
125,-2.79102389639486,-3.66138201177485
126,-3.0671182858168,-3.84281840645817
127,0.950896649052167,0.930096090191912
128,0.669651613551327,0.857920413589372
129,-1.62436401227858,-1.48594782446052
130,-3.40243874136471,-5.09492746148256
131,-3.26824165682981,-2.95423025784999
132,-0.916901170138865,-1.29180540364968
133,-0.752090398256619,-0.789266490270569
134,-1.57814792976267,-1.55545838995801
135,-0.270930604871927,-0.225006475980645
136,0.271332142379297,0.25205116799587
137,0.753931277645964,0.543171721883889
138,0.169555789805509,0.141153327939966
139,0.029464490539853,0.0386475899412115
140,-0.980058879607514,-1.2010154762868
141,-0.538860871565424,-0.782480973727092
142,1.06810982318582,0.972300523978414
143,-1.23665799852775,-2.22843301768507
144,-0.337404225559365,-0.487890957126039
145,-0.0070118321254498,-0.00721433562454189
146,0.897107752489191,0.684238547573842
147,-2.79659429968844,-4.19807529133759
148,0.69106213350494,0.66458122058466
149,0.569238879251419,0.67125247063102
150,-1.73635018416255,-2.29229718796517
151,-1.37081209194633,-1.99007872676756
152,-1.21090640713177,-2.51322205547061
153,1.51002448387238,1.79525613173294
154,-1.16587059029863,-1.37417601692074
155,0.0840518533539021,0.0728723718050826
156,-1.64009458187998,-2.03216273237711
157,0.433761302082707,0.627525636803579
158,0.0191036578554342,0.0169717120698732
159,-0.345309205879421,-0.22569541840534
