state,year,income_pc_thousand,unemployment_rate,income_dm,unemp_dm
California,2015,54.562,6.216666666666666,-14.998800000000003,0.5441666666666656
California,2016,56.653,5.516666666666667,-12.907800000000002,-0.1558333333333337
California,2017,59.342,4.833333333333333,-10.218800000000002,-0.8391666666666673
California,2018,62.167,4.258333333333334,-7.393799999999999,-1.4141666666666666
California,2019,65.254,4.091666666666667,-4.3067999999999955,-1.5808333333333335
California,2020,71.422,10.166666666666666,1.8611999999999966,4.494166666666666
California,2021,76.447,7.3500000000000005,6.886200000000002,1.6775000000000002
California,2022,78.822,4.283333333333333,9.261200000000002,-1.389166666666667
California,2023,82.501,4.716666666666667,12.940200000000004,-0.9558333333333335
California,2024,88.438,5.291666666666667,18.877200000000002,-0.38083333333333336
