"带宽","LOOCV_MSE"
0.18,22.9115747459119
0.218333333333333,22.9417641891873
0.256666666666667,22.9380148954839
0.295,22.910708956234
0.333333333333333,22.8642229994232
0.371666666666667,22.8049928610997
0.41,22.7412361381909
0.448333333333333,22.6802310533077
0.486666666666667,22.6269333646084
0.525,22.5840549044399
0.563333333333333,22.5527313630762
0.601666666666667,22.5331931689474
0.64,22.5252404775771
0.678333333333333,22.5285200148284
0.716666666666667,22.542660212508
0.755,22.5673213160223
0.793333333333333,22.6022014164563
0.831666666666667,22.647023670818
0.87,22.701518498926
0.908333333333333,22.7654072890251
0.946666666666667,22.8383900331638
0.985,22.9201372474087
1.02333333333333,23.0102856639272
1.06166666666667,23.1084369397518
1.1,23.2141586624837
