"state","gdp_residual","income_residual"
"Alabama",-7.35514255155777,-12.731550615177
"Alaska",-1.742795277002,3.35484682317463
"Arizona",-5.20352706251554,-5.66998321086248
"Arkansas",-19.3455344600377,-11.5682868157051
"California",3.43916957549448,11.8126955591853
"Colorado",6.30107848954041,10.0732137382079
"Connecticut",12.8035208597107,24.9184517552842
"Delaware",9.75128790732927,-3.6640898666347
"District of Columbia",124.012005892769,38.4348491626741
"Florida",-2.69589329382669,2.59021139870843
"Georgia",0.98734771836677,-8.09259282197095
"Hawaii",4.69016846825472,2.55890662411611
"Idaho",-18.1228140584464,-8.52213441292793
"Illinois",-6.64271468861135,-0.326153207787296
"Indiana",-8.21329426722532,-8.93165613216162
"Iowa",0.606880428419605,-4.55733136199829
"Kansas",-5.95519679151536,-5.06556934811268
"Kentucky",-30.2145527091496,-16.2112610333093
"Louisiana",-14.3934115409684,-11.9114814562379
"Maine",-6.57507466773542,-0.797636167552517
"Maryland",10.6103357425855,9.23371081383356
"Massachusetts",20.9308796442694,20.9931480885178
"Michigan",-18.6875686423068,-10.3357628188958
"Minnesota",10.411852186814,5.38675419037707
"Mississippi",-21.7632557680965,-18.3993747385418
"Missouri",-7.65425342130968,-7.04598321086247
"Montana",-8.6236851377716,-0.245397011688399
"Nebraska",14.8166222099668,3.42747168893137
"Nevada",-22.9221965280794,-5.48775927868467
"New Hampshire",9.79094386399372,14.5796451951054
"New Jersey",-2.88402248806261,10.8530414017836
"New Mexico",-17.0527238820505,-14.1000675934881
"New York",23.192360510195,12.2919312058002
"North Carolina",-3.75499152413119,-5.87765730191134
"North Dakota",24.0543151371984,3.35638376609464
"Ohio",-10.0576368628948,-8.92532905346076
"Oklahoma",-12.631693004649,-6.55065727094941
"Oregon",-13.4031035864461,-1.69932785274911
"Pennsylvania",-3.72506758142909,-1.09387418462886
"Rhode Island",-17.5971605977807,-2.19252363206973
"South Carolina",-17.9958628654557,-12.1132645735204
"South Dakota",12.397751642704,8.51088201147006
"Tennessee",-0.29205244575017,-4.77731028956333
"Texas",2.16407264925764,-3.15402541765625
"Utah",2.10589429263682,-3.28974402403641
"Vermont",1.97611444848466,3.7460355839969
"Virginia",13.2440704878752,7.68677529377395
"Washington",15.8633821518754,12.3269757520935
"West Virginia",-25.7871309377743,-17.1972633728087
"Wisconsin",2.41089007977129,-2.26183314758481
"Wyoming",4.73141225506669,16.6609511704093
