state,gdp_residual,income_residual
Alabama,-7.355142551557641,-12.731550615176971
Alaska,-1.7427952770018038,3.3548468231748387
Arizona,-5.203527062515391,-5.66998321086227
Arkansas,-19.3455344600375,-11.568286815704852
California,3.4391695754947165,11.812695559185528
Colorado,6.3010784895406005,10.073213738208096
Connecticut,12.803520859710872,24.918451755284394
Delaware,9.751287907329456,-3.664089866634498
District of Columbia,124.01200589276937,38.4348491626743
Florida,-2.695893293826522,2.5902113987086324
Georgia,0.9873477183669195,-8.092592821970747
Hawaii,4.6901684682548535,2.558906624116304
Idaho,-18.122814058446238,-8.522134412927727
Illinois,-6.642714688611122,-0.3261532077870726
Indiana,-8.21329426722513,-8.931656132161407
Iowa,0.6068804284197498,-4.557331361998095
Kansas,-5.955196791515192,-5.06556934811249
Kentucky,-30.21455270914936,-16.211261033309057
Louisiana,-14.39341154096816,-11.911481456237667
Maine,-6.575074667735272,-0.7976361675523265
Maryland,10.61033574258569,9.233710813833767
Massachusetts,20.930879644269595,20.99314808851797
Michigan,-18.687568642306616,-10.33576281889556
Minnesota,10.411852186814137,5.386754190377275
Mississippi,-21.76325576809633,-18.39937473854159
Missouri,-7.654253421309505,-7.045983210862261
Montana,-8.623685137771453,-0.24539701168821182
Nebraska,14.816622209966894,3.427471688931547
Nevada,-22.922196528079112,-5.48775927868445
New Hampshire,9.790943863993853,14.57964519510557
New Jersey,-2.884022488062385,10.853041401783813
New Mexico,-17.052723882050323,-14.100067593487886
New York,23.192360510195186,12.291931205800452
North Carolina,-3.7549915241310217,-5.877657301911128
North Dakota,24.05431513719852,3.3563837660948224
Ohio,-10.057636862894569,-8.925329053460544
Oklahoma,-12.631693004648817,-6.550657270949216
Oregon,-13.40310358644593,-1.6993278527489082
Pennsylvania,-3.7250675814289096,-1.0938741846286462
Rhode Island,-17.59716059778045,-2.1925236320695234
South Carolina,-17.995862865455514,-12.113264573520162
South Dakota,12.397751642704101,8.51088201147023
Tennessee,-0.2920524457500093,-4.7773102895631325
Texas,2.164072649257818,-3.154025417656044
Utah,2.105894292636961,-3.2897440240362243
Vermont,1.976114448484772,3.7460355839970845
Virginia,13.244070487875305,7.686775293774147
Washington,15.86338215187564,12.326975752093702
West Virginia,-25.787130937774137,-17.197263372808507
Wisconsin,2.410890079771427,-2.2618331475846105
Wyoming,4.731412255066843,16.660951170409533
