"lower","upper","cover","simulation"
3.20653248373922,4.66013418292745,TRUE,1
2.6943179248522,3.9056820751478,TRUE,2
3.21112404121913,4.58887595878087,TRUE,3
3.22028707187238,4.44637959479429,TRUE,4
2.84877492542403,4.21789174124264,TRUE,5
2.53096790821302,3.73569875845365,TRUE,6
2.95053306138381,4.31613360528286,TRUE,7
2.60556289379513,3.99443710620487,TRUE,8
2.66305865011622,4.07027468321712,TRUE,9
2.37044798283763,3.82955201716237,TRUE,10
2.40785674997674,3.85880991668992,TRUE,11
2.87546812557573,4.2578652077576,TRUE,12
2.78442383052163,3.88224283614504,TRUE,13
2.83486913700031,4.23179752966635,TRUE,14
2.93900337824065,4.12766328842602,TRUE,15
2.59185106496303,4.00814893503697,TRUE,16
2.43927895804299,3.69405437529035,TRUE,17
2.86854673924292,4.26478659409041,TRUE,18
2.94893264250482,4.18440069082852,TRUE,19
2.19719360947468,3.46947305719199,FALSE,20
2.44551074275713,3.8878225905762,TRUE,21
2.53900337824065,3.72766328842602,TRUE,22
3.17972057742373,4.22027942257627,TRUE,23
3.21249379806584,4.45417286860082,TRUE,24
2.43486913700031,3.83179752966635,TRUE,25
3.30877926422738,4.49122073577262,TRUE,26
3.14119008331008,4.59214325002326,TRUE,27
2.50070210390206,3.69929789609794,TRUE,28
2.52301322099045,3.81032011234288,TRUE,29
3.40174474702495,4.66492191964172,TRUE,30
3.62343226369393,4.84323440297274,FALSE,31
3.39082634736305,4.54250698597028,TRUE,32
2.88207373046332,4.31792626953668,TRUE,33
2.17058360383287,3.29608306283379,FALSE,34
3.30562829357543,4.4277050397579,TRUE,35
3.08336151355052,4.38330515311615,TRUE,36
2.98089257610993,4.15244075722341,TRUE,37
2.57373129762334,3.95960203570999,TRUE,38
3.02665397833322,4.37334602166678,TRUE,39
3.03383271242535,4.36616728757465,TRUE,40
3.13738761643249,4.32927905023417,TRUE,41
2.88174730738056,4.11825269261944,TRUE,42
2.53096790821302,3.73569875845365,TRUE,43
3.35094453002634,4.44905546997366,TRUE,44
2.33659218262228,3.73007448404438,TRUE,45
3.29287022922591,4.70712977077409,TRUE,46
2.82951624855593,4.17048375144407,TRUE,47
2.6515901192891,4.01507654737757,TRUE,48
2.82801904635267,4.23864762031399,TRUE,49
3.03296669292482,4.23369997374185,TRUE,50
2.79630244169675,4.13703089163658,TRUE,51
3.13738761643249,4.32927905023417,TRUE,52
3.37058360383287,4.49608306283379,TRUE,53
2.37930567953364,3.68736098713303,TRUE,54
2.61559930917148,3.85106735749518,TRUE,55
3.00174474702495,4.26492191964171,TRUE,56
2.79630244169675,4.13703089163658,TRUE,57
2.673086576192,3.99358009047467,TRUE,58
3.67618133714179,4.59048532952488,FALSE,59
2.57164709332751,4.09501957333916,TRUE,60
2.9152102670268,4.15145639963986,TRUE,61
2.58447519263622,3.81552480736378,TRUE,62
3.00940374396037,4.2572629227063,TRUE,63
3.24368123319119,4.22298543347547,TRUE,64
2.87233671157398,4.06099662175935,TRUE,65
3.02665699625177,4.4400096704149,TRUE,66
2.88874273066759,4.04459060266575,TRUE,67
2.45435766292254,3.74564233707746,TRUE,68
2.40785674997674,3.85880991668992,TRUE,69
2.18225287133899,3.48441379532768,FALSE,70
3.28048232223177,4.45285101110157,TRUE,71
2.35053306138381,3.71613360528286,TRUE,72
2.72157252183417,4.1450941448325,TRUE,73
2.3427370772937,3.59059625603963,TRUE,74
2.91367896806308,4.08632103193692,TRUE,75
2.673086576192,3.99358009047467,TRUE,76
2.71832949500692,3.94833717165975,TRUE,77
2.79267480167477,4.0739918649919,TRUE,78
2.81080374318364,4.1225295901497,TRUE,79
2.76752390545412,4.03247609454588,TRUE,80
3.32146462420345,4.54520204246321,TRUE,81
3.06873165846967,4.397935008197,TRUE,82
2.95676559702726,4.17656773630607,TRUE,83
2.65479795753679,3.87853537579655,TRUE,84
2.73459270670179,4.19874062663154,TRUE,85
2.49015570956796,3.90984429043205,TRUE,86
2.13355739937784,3.3997759339555,FALSE,87
3.02837980356699,4.50495352976634,TRUE,88
2.87546812557573,4.2578652077576,TRUE,89
2.77783705271329,4.08882961395338,TRUE,90
3.24695326561819,4.55304673438181,TRUE,91
2.76820247033365,4.16513086299969,TRUE,92
2.43486913700031,3.83179752966635,TRUE,93
2.89229967222036,4.1743669944463,TRUE,94
2.93355739937784,4.1997759339555,TRUE,95
2.39550982251458,3.60449017748542,TRUE,96
2.49984446616991,3.76682220049676,TRUE,97
2.55618977138622,3.91047689528045,TRUE,98
2.92303822828965,4.14362843837702,TRUE,99
3.26873165846966,4.597935008197,TRUE,100
2.7427370772937,3.99059625603963,TRUE,101
2.87233671157398,4.06099662175935,TRUE,102
2.70532849160444,4.02800484172889,TRUE,103
2.70245423167283,4.09754576832717,TRUE,104
3.3583442909683,4.57498904236504,TRUE,105
2.5152102670268,3.75145639963986,TRUE,106
2.80674966424578,3.99325033575421,TRUE,107
2.63075106806109,4.03591559860558,TRUE,108
2.96752390545412,4.23247609454588,TRUE,109
2.84178707768645,4.22487958898022,TRUE,110
2.28661801453202,3.38004865213464,FALSE,111
2.91117038604662,4.22216294728671,TRUE,112
2.61719517683357,4.0494714898331,TRUE,113
2.8774704098503,4.18919625681636,TRUE,114
3.18916817664664,4.5441651566867,TRUE,115
2.91771145539272,4.41562187794061,TRUE,116
2.8002240660445,4.06644260062216,TRUE,117
2.62968343059302,4.10364990274031,TRUE,118
2.03383271242535,3.36616728757465,FALSE,119
3.27600588344881,4.59066078321786,TRUE,120
3.14119777498052,4.39213555835281,TRUE,121
3.00653248373922,4.46013418292745,TRUE,122
2.84401490776794,4.15598509223206,TRUE,123
2.06153619424185,3.40513047242481,FALSE,124
2.69907194973149,3.76759471693517,TRUE,125
2.69530688346159,3.97135978320508,TRUE,126
2.64842741362549,3.95157258637451,TRUE,127
2.76332781572432,4.10333885094235,TRUE,128
3.0834143969358,4.5165856030642,TRUE,129
2.66992551595562,4.06340781737772,TRUE,130
2.60837278722112,3.79162721277888,TRUE,131
2.92303822828965,4.14362843837702,TRUE,132
2.6562581568542,4.07707517647913,TRUE,133
3.1923366239271,4.4076633760729,TRUE,134
3.3537478972045,4.51291876946217,TRUE,135
2.9727413388455,4.16059199448783,TRUE,136
2.85637156162298,4.07696177171035,TRUE,137
2.86169330339253,4.2716400299408,TRUE,138
2.17056002472782,3.22943997527218,FALSE,139
2.8588413445091,4.1411586554909,TRUE,140
3.25637156162298,4.47696177171035,TRUE,141
3.40351666845045,4.59648333154955,TRUE,142
