"模型","项","估计值","标准误","t统计量","p值"
"未加控制：事故聚类CR1","(Intercept)",0.230815883887945,0.00822934050150311,28.0479199816542,3.06065697749661e-171
"未加控制：事故聚类CR1","Z",0.0497880399309258,0.00950103547573423,5.24027513191432,1.61246603035922e-07
"未加控制：事故聚类CR1","rv",0.0245225339423756,0.00374648121621548,6.54548428969493,6.01048390724009e-11
"未加控制：事故聚类CR1","Zrv",-0.0210818844296293,0.00459305226633457,-4.58995091001946,4.44858240354203e-06
"性别年份控制：事故聚类CR1","(Intercept)",0.156298689162286,0.00984676507595345,15.8731002473065,1.51977923918735e-56
"性别年份控制：事故聚类CR1","Z",0.0502738353487641,0.00945985172857245,5.3144422123359,1.07625209251507e-07
"性别年份控制：事故聚类CR1","rv",0.0237007758728352,0.00372806939941421,6.35738591040159,2.07690401231601e-10
"性别年份控制：事故聚类CR1","Zrv",-0.0205162410678249,0.00457178951643155,-4.48757340951221,7.2263722901224e-06
"性别年份控制：事故聚类CR1","male",0.085168402977603,0.00446785244863041,19.0624923174692,1.30265110450125e-80
"性别年份控制：事故聚类CR1","factor(year)2019",0.000765393788159082,0.00768133667250839,0.0996433069908831,0.920628070159492
"性别年份控制：事故聚类CR1","factor(year)2020",0.0138475367979639,0.00758740446625952,1.82506901530591,0.0679989637140271
"性别年份控制：事故聚类CR1","factor(year)2021",0.0122903306781264,0.00748656476570542,1.64165155351707,0.100671041960975
"性别年份控制：事故聚类CR1","factor(year)2022",0.0296554680515272,0.00771985055860713,3.84145623369137,0.000122517830566174
"性别年份控制：事故聚类CR1","factor(year)2023",0.0247177306601849,0.00775950974500845,3.18547581902134,0.00144640357962875
